Model,v0,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
aadi19_olympus_coder_13b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deepseek_coder_v2_16b,-15,-15,-15,-15,-13,6,-8,6,-8,10,5,-15,-15,-15,6,-8,6,15,15
deepseek_r1_14b,-15,-15,-15,-15,-6,-8,-15,-8,-1,-15,-15,-15,5,-8,6,6,6,15,15
deepseek_r1_32b,-8,-15,-1,-1,-6,6,-1,6,6,17,-5,5,15,-8,6,6,6,15,15
deepseek_v3_qwen2.5_32b,-1,-15,-1,-1,-6,-1,6,6,-1,15,5,-5,15,6,6,6,6,15,15
google_gemma3_12b,-15,-8,-1,-8,-13,-15,-8,6,-8,-15,5,-8,15,-15,6,-15,6,15,15
google_gemma3_27b,-15,-15,-8,-15,-13,-8,-15,6,-15,-15,-15,-8,-15,6,6,-15,6,15,15
meta_codellama_13b,-15,-15,-15,-1,1,-15,-15,-1,-15,-8,-15,-15,2,-8,6,-15,-5,15,15
meta_codellama_34b,-8,-15,-8,6,-13,-8,-15,-1,6,-5,-5,-1,5,-1,-1,-1,9,15,15
microsoft_phi4_14b,-1,-15,-1,-1,1,-1,-8,6,-1,5,-5,5,-5,6,6,-8,6,15,15
microsoft_phi4_reasoning_14b,-1,-15,-8,-1,-6,9,2,6,6,5,15,12,15,-1,6,-1,-1,15,15
mistral_codestral_22b,-1,-15,6,6,-6,-1,-1,6,6,-5,15,-15,15,-15,6,-15,6,15,15
mistral_small_24b,-1,-15,6,6,-6,-1,6,6,6,-15,-5,-5,5,6,6,-15,6,15,15
openai_gpt_oss_20b,-1,-1,-8,6,8,6,-1,6,6,12,15,15,15,6,6,6,6,15,15
phind_codellama_34b,-1,-15,-8,6,-13,6,-1,6,6,15,15,-15,15,-15,6,-15,6,15,15
qwen3_coder_30b,-8,6,6,6,1,-8,-1,6,6,10,2,15,15,-1,6,6,6,15,15
wizardcoder_33b,-8,-15,6,6,1,6,-15,-1,2,-8,2,-5,-5,6,6,-1,6,15,15
