Model,Start Score (v0),Final Score (v20),Score Change
deepseek_coder_v2_16b,-15,15,30
deepseek_r1_14b,-15,15,30
deepseek_r1_32b,-8,15,23
deepseek_v3_qwen2.5_32b,-1,15,16
google_gemma3_12b,-15,15,30
google_gemma3_27b,-15,15,30
meta_codellama_13b,-15,15,30
meta_codellama_34b,-8,15,23
microsoft_phi4_14b,-1,15,16
microsoft_phi4_reasoning_14b,-1,15,16
mistral_codestral_22b,-1,15,16
mistral_small_24b,-1,15,16
openai_gpt_oss_20b,-1,15,16
phind_codellama_34b,-1,15,16
qwen3_coder_30b,-8,15,23
wizardcoder_33b,-8,15,23
aadi19_olympus_coder_13b,N/A,N/A,N/A
